E /V,t /s,I /A
0.1,0,-1.04E-11
0.1,0.01,-1.02E-11
0.1,0.02,-1.01E-11
0.1,0.03,-9.93E-12
0.1,0.04,-9.81E-12
0.1,0.05,-9.71E-12
0.1,0.06,-9.63E-12
0.1,0.07,-9.55E-12
0.1,0.08,-9.49E-12
0.1,0.09,-9.42E-12
0.1,0.091,-9.42E-12
0.1,0.092,-9.41E-12
0.1,0.093,-9.41E-12
0.1,0.094,-9.40E-12
0.1,0.095,-9.40E-12
0.1,0.096,-9.39E-12
0.1,0.097,-9.38E-12
0.1,0.098,-9.38E-12
0.1,0.099,-9.37E-12
0.1,0.1,-7.43E-08
0.1,0.1001,-3.97E-07
0.1,0.1002,-2.71E-07
0.1,0.1003,-2.20E-07
0.1,0.1004,-1.91E-07
0.1,0.1005,-1.71E-07
0.1,0.1006,-1.57E-07
0.1,0.1007,-1.46E-07
0.1,0.1008,-1.37E-07
0.1,0.1009,-1.30E-07
0.1,0.101,-1.24E-07
0.1,0.1011,-1.19E-07
0.1,0.1012,-1.14E-07
0.1,0.1013,-1.10E-07
0.1,0.1014,-1.07E-07
0.1,0.1015,-1.03E-07
0.1,0.1016,-1.01E-07
0.1,0.1017,-9.79E-08
0.1,0.1018,-9.55E-08
0.1,0.1019,-9.33E-08
0.1,0.102,-9.12E-08
0.1,0.1022,-8.75E-08
0.1,0.1024,-8.43E-08
0.1,0.1026,-8.15E-08
0.1,0.1028,-7.90E-08
0.1,0.103,-7.67E-08
0.1,0.1032,-7.47E-08
0.1,0.1034,-7.28E-08
0.1,0.1036,-7.12E-08
0.1,0.1038,-6.96E-08
0.1,0.104,-6.82E-08
0.1,0.1042,-6.68E-08
0.1,0.1044,-6.56E-08
0.1,0.1046,-6.44E-08
0.1,0.1048,-6.33E-08
0.1,0.105,-6.23E-08
0.1,0.1055,-6.00E-08
0.1,0.106,-5.80E-08
0.1,0.1065,-5.62E-08
0.1,0.107,-5.47E-08
0.1,0.1075,-5.32E-08
0.1,0.108,-5.20E-08
0.1,0.1085,-5.08E-08
0.1,0.109,-4.98E-08
0.1,0.1095,-4.88E-08
0.1,0.11,-4.79E-08
0.1,0.111,-4.63E-08
0.1,0.112,-4.49E-08
0.1,0.113,-4.36E-08
0.1,0.114,-4.25E-08
0.1,0.115,-4.16E-08
0.1,0.116,-4.07E-08
0.1,0.117,-3.99E-08
0.1,0.118,-3.91E-08
0.1,0.119,-3.84E-08
0.1,0.12,-3.78E-08
0.1,0.122,-3.67E-08
0.1,0.124,-3.57E-08
0.1,0.126,-3.49E-08
0.1,0.128,-3.41E-08
0.1,0.13,-3.34E-08
0.1,0.132,-3.28E-08
0.1,0.134,-3.23E-08
0.1,0.136,-3.17E-08
0.1,0.138,-3.13E-08
0.1,0.14,-3.08E-08
0.1,0.142,-3.04E-08
0.1,0.144,-3.01E-08
0.1,0.146,-2.97E-08
0.1,0.148,-2.94E-08
0.1,0.15,-2.91E-08
0.1,0.155,-2.84E-08
0.1,0.16,-2.78E-08
0.1,0.165,-2.73E-08
0.1,0.17,-2.68E-08
0.1,0.175,-2.64E-08
0.1,0.18,-2.61E-08
0.1,0.185,-2.57E-08
0.1,0.19,-2.54E-08
0.1,0.195,-2.51E-08
0.1,0.2,-2.49E-08
0.1,0.21,-2.44E-08
0.1,0.22,-2.40E-08
0.1,0.23,-2.37E-08
0.1,0.24,-2.33E-08
0.1,0.25,-2.31E-08
0.1,0.26,-2.28E-08
0.1,0.27,-2.26E-08
0.1,0.28,-2.24E-08
0.1,0.29,-2.22E-08
0.1,0.3,-2.20E-08
0.1,0.32,-2.17E-08
0.1,0.34,-2.14E-08
0.1,0.36,-2.12E-08
0.1,0.38,-2.10E-08
0.1,0.4,-2.08E-08
0.1,0.42,-2.06E-08
0.1,0.44,-2.05E-08
0.1,0.46,-2.03E-08
0.1,0.48,-2.02E-08
0.1,0.5,-2.01E-08
0.1,0.52,-2.00E-08
0.1,0.54,-1.98E-08
0.1,0.56,-1.98E-08
0.1,0.58,-1.97E-08
0.1,0.6,-1.96E-08
0.1,0.65,-1.94E-08
0.1,0.7,-1.92E-08
0.1,0.75,-1.91E-08
0.1,0.8,-1.89E-08
0.1,0.85,-1.88E-08
0.1,0.9,-1.87E-08
0.1,0.95,-1.86E-08
0.1,1,-1.85E-08
0.1,1.05,-1.84E-08
0.1,1.1,-1.84E-08
0.1,1.2,-1.82E-08
0.1,1.3,-1.81E-08
0.1,1.4,-1.80E-08
0.1,1.5,-1.79E-08
0.1,1.6,-1.78E-08
0.1,1.7,-1.78E-08
0.1,1.8,-1.77E-08
0.1,1.9,-1.76E-08
0.1,2,-1.76E-08
0.1,2.1,-1.75E-08
0.1,2.3,-1.74E-08
0.1,2.5,-1.74E-08
0.1,2.7,-1.73E-08
0.1,2.9,-1.72E-08
0.1,3.1,-1.72E-08
0.1,3.3,-1.71E-08
0.1,3.5,-1.71E-08
0.1,3.7,-1.70E-08
0.1,3.9,-1.70E-08
0.1,4.1,-1.69E-08
0.1,4.3,-1.69E-08
0.1,4.5,-1.69E-08
0.1,4.7,-1.68E-08
0.1,4.9,-1.68E-08
0.1,5.1,-1.68E-08
0.1,5.6,-1.67E-08
0.1,6.1,-1.67E-08
0.1,6.6,-1.66E-08
0.1,7.1,-1.66E-08
0.1,7.6,-1.66E-08
0.1,8.1,-1.65E-08
0.1,8.6,-1.65E-08
0.1,9.1,-1.65E-08
0.1,9.6,-1.64E-08
0.1,10.1,-1.64E-08
0.1,11.1,-1.64E-08
0.1,12.1,-1.63E-08
0.1,13.1,-1.63E-08
0.1,14.1,-1.63E-08
0.1,15.1,-1.63E-08
0.1,16.1,-1.62E-08
0.1,17.1,-1.62E-08
0.1,18.1,-1.62E-08
0.1,19.1,-1.62E-08
0.1,20.1,-1.62E-08
0.1,22.1,-1.61E-08
0.1,24.1,-1.61E-08
0.1,26.1,-1.61E-08
0.1,28.1,-1.61E-08
0.1,30.1,-1.60E-08
0.1,32.1,-1.60E-08
0.1,34.1,-1.60E-08
0.1,36.1,-1.60E-08
0.1,38.1,-1.60E-08
0.1,40.1,-1.60E-08
0.1,42.1,-1.60E-08
0.1,44.1,-1.59E-08
0.1,46.1,-1.59E-08
0.1,48.1,-1.59E-08
0.1,50.1,-1.59E-08
0.1,55.1,-1.59E-08
0.1,60.1,-1.59E-08
0.1,65.1,-1.59E-08
0.1,70.1,-1.59E-08
0.1,75.1,-1.58E-08
0.1,80.1,-1.58E-08
0.1,85.1,-1.58E-08
0.1,90.1,-1.58E-08
0.1,95.1,-1.58E-08
0.1,100.1,-1.58E-08
0.11,0,-1.04E-11
0.11,0.01,-1.02E-11
0.11,0.02,-1.01E-11
0.11,0.03,-9.93E-12
0.11,0.04,-9.81E-12
0.11,0.05,-9.71E-12
0.11,0.06,-9.63E-12
0.11,0.07,-9.55E-12
0.11,0.08,-9.49E-12
0.11,0.09,-9.42E-12
0.11,0.091,-9.42E-12
0.11,0.092,-9.41E-12
0.11,0.093,-9.41E-12
0.11,0.094,-9.40E-12
0.11,0.095,-9.40E-12
0.11,0.096,-9.39E-12
0.11,0.097,-9.38E-12
0.11,0.098,-9.38E-12
0.11,0.099,-9.37E-12
0.11,0.1,-6.91E-08
0.11,0.1001,-3.96E-07
0.11,0.1002,-2.71E-07
0.11,0.1003,-2.20E-07
0.11,0.1004,-1.91E-07
0.11,0.1005,-1.71E-07
0.11,0.1006,-1.57E-07
0.11,0.1007,-1.46E-07
0.11,0.1008,-1.37E-07
0.11,0.1009,-1.30E-07
0.11,0.101,-1.24E-07
0.11,0.1011,-1.18E-07
